Unique.ID,Catch Year,Age at Catch,Fish ID,Station-Transect,Converted Lat,Converted Long,Weight(Kg),Increment Number,Increment Width,Year of Increment Formation,Radius at age Ri (mm),Growth Rate,Otolith radius at capture: Rcpt,Fish length at capture: Lcpt (cm),Average fish length at hatching: L0p (cm),Biological Intercept,Back-Calculated Length Option 2 (Ernst Method_regression),Back Calculated Weight (W=aL^b),Growth Rate (Biological Intercept),Length Increments,a,b,June U,July U,August U,September U,October U,November U,December U,June V,July V,August V,September V,October V,November V,December V,June Discharge,July Discharge,August Discharge,September Discharge,October Discharge,November Discharge,December Discharge,Avg Discharge,June MSLA,July MSLA,August MSLA,September MSLA,October MSLA,November MSLA,December MSLA,June WSC,July WSC,August WSC,September WSC,October WSC,November WSC,December WSC
11,2011,3.5,PC1510_1,PC1510,30.05563333,-88.36293333,,3,0.29,2010,1.529,0.234059726,1.62,43,0.2,40.61928307,43.07864,1.15,0.232826862,7.671199011,,,0.34999842,0.09999842,1.1599984,-1.81000153,0.66999841,-0.76000156,1.1799984,1.67999839,0.89999841,0.81999841,0.11999842,-1.47000154,0.04999842,-1.77000153,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0685,0.1428,0.0868,0.2113,0.0847,0.0909,-0.0875,-11.1560001,-8.58899975,-63.9309998,-4.70699978,-33.8860016,-33.3419991,#N/A
12,2011,3.5,PC1510_1,PC1510,30.05563333,-88.36293333,,3.5,0.09,2011,1.619,0.058862001,1.62,43,0.2,43,45.61304,1.36,0.058610511,2.380716934,,,1.2599984,1.4099984,1.8999984,-0.4800016,-1.7600015,-1.3200015,-1.3400015,1.0599984,0.79999841,-0.49000156,-0.26000157,-2.61000152,-0.01000157,-0.44000156,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.025,0.0479,0.0235,0.1043,0.077,0.1026,0.0519,-8.58399963,42.3889999,-11.2819996,-6.71000004,-28.2989998,-44.3540001,#N/A
13,2011,3.5,PC1010_20,PC1010,29.51233333,-88.68658333,,1,1.01,2008,1.01,,1.7,45,0.2,26.86855457,28.4636,0.34,,26.86855457,,,1.1599984,2.15999838,2.27999838,-3.3100015,-1.82000153,0.25999842,-0.03000157,1.48999839,1.0499984,0.07999842,-0.09000157,-1.86000153,-1.00000155,1.1599984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0227,0.0655,-0.0154,0.2055,0.2155,0.0709,0.0149,-5.79400015,-2.73600006,-3.4460001,10.6610003,-1.86800003,-1.27100003,-10.6190004
14,2011,3.5,PC1010_20,PC1010,29.51233333,-88.68658333,,2,0.303,2009,1.313,0.3,1.7,45,0.2,34.87705015,36.99608,0.73,0.298062017,8.008495575,,,3.04999836,3.29999835,0.75999841,-1.24000155,0.01999843,-0.59000156,-0.95000155,0.2199984,1.6399984,0.3999984,1.1599984,0.3599984,-2.8600015,-1.0800015,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.023,0.0319,0.0944,0.2199,0.164,0.187,0.0685,-11.3470001,-6.08300018,-3.24300003,-1.10000002,-3.22399998,0.612999976,4.08900023
15,2011,3.5,PC1010_20,PC1010,29.51233333,-88.68658333,,3,0.253,2010,1.566,0.1926885,1.7,45,0.2,41.5640118,44.12056,1.23,0.191729565,6.686961652,,,0.34999842,0.09999842,1.1599984,-1.81000153,0.66999841,-0.76000156,1.1799984,1.67999839,0.89999841,0.81999841,0.11999842,-1.47000154,0.04999842,-1.77000153,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0628,0.1142,0.0981,0.1983,0.0961,0.1037,-0.0622,-5.24499989,-6.29400015,-2.80900002,-6.33099985,-8.85400009,0.460000008,-3.16300011
16,2011,3.5,PC1010_20,PC1010,29.51233333,-88.68658333,,3.5,0.13,2011,1.696,0.083014049,1.7,45,0.2,45,47.78136,1.56,0.082667386,3.435988201,,,1.2599984,1.4099984,1.8999984,-0.4800016,-1.7600015,-1.3200015,-1.3400015,1.0599984,0.79999841,-0.49000156,-0.26000157,-2.61000152,-0.01000157,-0.44000156,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.0214,0.0389,0.0541,0.0987,0.0964,0.102,0.0756,-15.6949997,-7.40500021,-6.30499983,-6.33300018,1.25699997,-1.19400001,-2.91199994
17,2011,3.5,PC1020_59,PC1020,29.4525,-88.6525,,1,1,2008,1,,1.67,36,0.2,21.62852007,28.182,0.18,,21.62852007,,,1.1599984,2.15999838,2.27999838,-3.3100015,-1.82000153,0.25999842,-0.03000157,1.48999839,1.0499984,0.07999842,-0.09000157,-1.86000153,-1.00000155,1.1599984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.035,0.0987,0.0208,0.1773,0.2118,0.0664,0.0278,-5.79400015,-2.73600006,-3.4460001,10.6610003,-1.86800003,-1.27100003,-10.6190004
18,2011,3.5,PC1020_59,PC1020,29.4525,-88.6525,,2,0.33,2009,1.33,0.33,1.67,36,0.2,28.70701019,37.4748,0.41,0.327275749,7.078490114,,,3.04999836,3.29999835,0.75999841,-1.24000155,0.01999843,-0.59000156,-0.95000155,0.2199984,1.6399984,0.3999984,1.1599984,0.3599984,-2.8600015,-1.0800015,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.0522,0.0563,0.0786,0.2024,0.1688,0.1944,0.0652,-11.3470001,-6.08300018,-3.24300003,-1.10000002,-3.22399998,0.612999976,4.08900023
19,2011,3.5,PC1020_59,PC1020,29.4525,-88.6525,,3,0.23,2010,1.56,0.172932331,1.67,36,0.2,33.6405033,43.9516,0.66,0.171856737,4.93349311,,,0.34999842,0.09999842,1.1599984,-1.81000153,0.66999841,-0.76000156,1.1799984,1.67999839,0.89999841,0.81999841,0.11999842,-1.47000154,0.04999842,-1.77000153,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0676,0.0974,0.1051,0.185,0.1184,0.0992,-0.0423,-5.24499989,-6.29400015,-2.80900002,-6.33099985,-8.85400009,0.460000008,-3.16300011
20,2011,3.5,PC1020_59,PC1020,29.4525,-88.6525,,3.5,0.11,2011,1.67,0.070512821,1.67,36,0.2,36,47.0492,0.8,0.070138567,2.359496705,,,1.2599984,1.4099984,1.8999984,-0.4800016,-1.7600015,-1.3200015,-1.3400015,1.0599984,0.79999841,-0.49000156,-0.26000157,-2.61000152,-0.01000157,-0.44000156,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.0299,0.062,0.0791,0.096,0.0867,0.102,0.0863,-15.6949997,-7.40500021,-6.30499983,-6.33300018,1.25699997,-1.19400001,-2.91199994
21,2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,,1,0.826666667,2007,0.827,,1.77,42,0.2,19.70981722,23.30093333,0.13,,19.70981722,,,0.4899984,2.0799984,0.8699984,-2.4500015,-3.1800015,-0.3500016,-0.5200016,0.52999841,0.53999841,1.0999984,-0.44000156,-1.15000155,-1.87000153,0.04999842,400.9,481.6451613,300.0645161,290.9333333,200.6129032,247.6333333,377.0967742,328.4122888,0.0421,0.0264,0.1063,0.1498,0.1175,0.0675,0.0478,-2.06399989,-8.45199966,-3.05999994,6.41300011,-6.33699989,-2.70499992,-4.37200022
22,2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,,2,0.436666667,2008,1.263,0.528225806,1.77,42,0.2,30.0278877,35.59746667,0.47,0.523499044,10.31807047,,,1.3999984,2.1899984,1.8199984,-2.8100015,-1.6300015,0.6499984,0.2099984,1.6299984,1.0999984,0.3799984,-0.5400016,-2.0000015,-1.4200015,1.1799984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0738,0.0669,0.075,0.246,0.185,0.0644,0.0715,-3.02900004,-7.34499979,-4.70100021,2.86599994,-6.80499983,-10.3900003,-7.80800009
23,2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,,3,0.253333333,2009,1.517,0.200527704,1.77,42,0.2,36.01394385,42.73133333,0.8,0.199349891,5.986056152,,,3.04999836,3.39999835,0.42999842,-1.90000153,0.07999842,-0.19000157,-0.66000156,0.2599984,1.7599984,1.0399984,0.6099984,0.2199984,-2.7600015,-1.3300015,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.0612,0.1003,0.1093,0.2098,0.1547,0.1812,0.0615,-2.64100003,-3.16499996,-7.88199997,-0.159999996,-6.09899998,-8.35400009,-4.33300018
24,2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,,4,0.193333333,2010,1.71,0.127472527,1.77,42,0.2,40.58224986,48.1756,1.15,0.126848257,4.568306011,,,0.6299984,0.2899984,0.6599984,-1.3100015,0.7199984,-0.7700016,1.6299984,1.6499984,1.1299984,1.5899984,0.1499984,-1.2300015,-0.1800016,-2.0000015,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0963,0.1181,0.1252,0.1819,0.1091,0.0467,-0.0788,-6.71000004,-0.187999994,-0.681999981,-4.13000011,-6.52099991,-0.375999987,-6.42700005
25,2011,4.5,BR0520_2,BR0520,29.0935,-84.58155,1.162,4.5,0.06,2011,1.77,0.035087719,1.77,42,0.2,42,49.8652,1.27,0.034935228,1.417750141,,,1.4899984,1.0499984,1.7899984,-0.5000016,-1.4900015,-1.5200015,-1.0300016,1.0399984,1.0599984,-0.2000016,0.1599984,-2.6500015,-0.1900016,-0.4600016,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.0748,0.1016,0.1186,0.1347,0.1032,0.0939,0.0729,-8.27000046,-2.43300009,-3.90499997,1.33700001,-8.27099991,-6.82299995,-11.2959995
26,2011,4.5,PC0610_11,PC0610,29.42406667,-85.4395,,1,1.106,2007,1.106,,2.1,51,0.2,26.90080863,31.16696,0.34,,26.90080863,,,0.4899984,2.0799984,0.8699984,-2.4500015,-3.1800015,-0.3500016,-0.5200016,0.52999841,0.53999841,1.0999984,-0.44000156,-1.15000155,-1.87000153,0.04999842,400.9,481.6451613,300.0645161,290.9333333,200.6129032,247.6333333,377.0967742,328.4122888,0.0824,0.0822,0.081,0.0985,0.1145,0.0566,0.0021,-3.56900001,-5.3130002,-6.046,0.407999992,-0.680999994,-4.079,-1.86600006
27,2011,4.5,PC0610_11,PC0610,29.42406667,-85.4395,,2,0.376,2008,1.482,0.339963834,2.1,51,0.2,35.98633265,41.75512,0.8,0.33774167,9.085524021,,,1.3999984,2.1899984,1.8199984,-2.8100015,-1.6300015,0.6499984,0.2099984,1.6299984,1.0999984,0.3799984,-0.5400016,-2.0000015,-1.4200015,1.1799984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0868,0.1071,0.0652,0.2129,0.1615,0.0912,0.0329,-7.10699987,-4.71000004,-1.67900002,-6.32800007,-10.6040001,-5.4829998,-3.75600004
28,2011,4.5,PC0610_11,PC0610,29.42406667,-85.4395,,3,0.306,2009,1.788,0.206477733,2.1,51,0.2,43.38040273,50.37208,1.4,0.205468842,7.394070081,,,3.04999836,3.39999835,0.42999842,-1.90000153,0.07999842,-0.19000157,-0.66000156,0.2599984,1.7599984,1.0399984,0.6099984,0.2199984,-2.7600015,-1.3300015,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.0506,0.0964,0.1173,0.2094,0.178,0.1587,0.021,-8.4289999,-4.55700016,-2.88599992,-2.2420001,-4.4749999,-4.91699982,-9.93799973
29,2011,4.5,PC0610_11,PC0610,29.42406667,-85.4395,,4,0.23,2010,2.018,0.128635347,2.1,51,0.2,48.9380371,56.84888,2.01,0.128113941,5.557634375,,,0.6299984,0.2899984,0.6599984,-1.3100015,0.7199984,-0.7700016,1.6299984,1.6499984,1.1299984,1.5899984,0.1499984,-1.2300015,-0.1800016,-2.0000015,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0923,0.1153,0.1305,0.1652,0.1213,0.0608,-0.0729,-6.08300018,-5.04500008,3.67499995,-9.81700039,-4.85699987,-3.52200007,-4.0710001
30,2011,4.5,PC0610_11,PC0610,29.42406667,-85.4395,na,4.5,0.083,2011,2.101,0.041129832,2.1,51,0.2,50.9436182,59.18616,2.26,0.04098205,2.0055811,,,1.4899984,1.0499984,1.7899984,-0.5000016,-1.4900015,-1.5200015,-1.0300016,1.0399984,1.0599984,-0.2000016,0.1599984,-2.6500015,-0.1900016,-0.4600016,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.0629,0.1167,0.1382,0.1146,0.1092,0.0948,0.0762,-11.6829996,-3.5079999,-2.9059999,-4.01399994,-1.76400006,-9.03499985,-0.922999978
31,2011,4.5,PC0720_6,PC0720,30.10545,-86.35315,,1,0.936666667,2007,0.937,,1.68,38,0.2,21.26503871,26.39853333,0.17,,21.26503871,,,0.4899984,2.0799984,0.8699984,-2.4500015,-3.1800015,-0.3500016,-0.5200016,0.52999841,0.53999841,1.0999984,-0.44000156,-1.15000155,-1.87000153,0.04999842,400.9,481.6451613,300.0645161,290.9333333,200.6129032,247.6333333,377.0967742,328.4122888,0.0746,0.0545,0.0691,0.1109,0.1517,0.0726,-0.007,#N/A,-41.3639984,-5.08199978,-12.1669998,112.404999,#N/A,#N/A
32,2011,4.5,PC0720_6,PC0720,30.10545,-86.35315,,2,0.366666667,2008,1.303,0.391459075,1.68,38,0.2,29.51995235,36.72386667,0.45,0.388191799,8.254913639,,,1.3999984,2.1899984,1.8199984,-2.8100015,-1.6300015,0.6499984,0.2099984,1.6299984,1.0999984,0.3799984,-0.5400016,-2.0000015,-1.4200015,1.1799984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0688,0.1017,0.0275,0.2305,0.1726,0.0875,0.0048,#N/A,#N/A,78.1740036,41.269001,14.3319998,#N/A,#N/A
33,2011,4.5,PC0720_6,PC0720,30.10545,-86.35315,,3,0.186666667,2009,1.49,0.143222506,1.68,38,0.2,33.72245384,41.9804,0.66,0.142361391,4.202501489,,,3.04999836,3.39999835,0.42999842,-1.90000153,0.07999842,-0.19000157,-0.66000156,0.2599984,1.7599984,1.0399984,0.6099984,0.2199984,-2.7600015,-1.3300015,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.0534,0.0691,0.0979,0.2195,0.1649,0.1785,0.0235,#N/A,-95.9609985,#N/A,5.25199986,#N/A,#N/A,#N/A
34,2011,4.5,PC0720_6,PC0720,30.10545,-86.35315,,4,0.146666667,2010,1.637,0.098434004,1.68,38,0.2,37.0244193,46.11053333,0.87,0.097915931,3.301965456,,,0.6299984,0.2899984,0.6599984,-1.3100015,0.7199984,-0.7700016,1.6299984,1.6499984,1.1299984,1.5899984,0.1499984,-1.2300015,-0.1800016,-2.0000015,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.1098,0.1214,0.1354,0.1927,0.0954,0.0674,-0.0705,#N/A,7.50099993,-53.3740005,5.55600023,11.3920002,178.914001,-326.544006
35,2011,4.5,PC0720_6,PC0720,30.10545,-86.35315,0.85,4.5,0.043333333,2011,1.68,0.026476578,1.68,38,0.2,38,47.3308,0.94,0.026349656,0.975580703,,,1.4899984,1.0499984,1.7899984,-0.5000016,-1.4900015,-1.5200015,-1.0300016,1.0399984,1.0599984,-0.2000016,0.1599984,-2.6500015,-0.1900016,-0.4600016,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.082,0.1157,0.1124,0.1378,0.1046,0.1174,0.0575,-51.6349983,#N/A,#N/A,-41.1459999,407.337006,67.7429962,#N/A
36,2011,4.5,PC0920_12,PC0920,29.6201,-88.04311667,,1,1.22,2007,1.22,,1.91,36,0.2,23.02039393,34.3772,0.21,,23.02039393,,,0.6199984,2.2899984,0.7599984,-2.1000015,-3.0100015,-0.6200016,-0.5700016,0.7199984,0.5499984,0.7899984,-0.2600016,-0.9400016,-1.6800015,0.7199984,400.9,481.6451613,300.0645161,290.9333333,200.6129032,247.6333333,377.0967742,328.4122888,0.0447,0.0246,0.0711,0.0994,0.1337,0.0799,-0.0141,-5.01800013,-4.85200024,-4.09200001,5.35500002,5.31699991,-2.20000005,-0.889999986
37,2011,4.5,PC0920_12,PC0920,29.6201,-88.04311667,,2,0.28,2008,1.5,0.229508197,1.91,36,0.2,28.26215792,42.262,0.39,0.227700881,5.241763988,,,1.1599984,2.15999838,2.27999838,-3.3100015,-1.82000153,0.25999842,-0.03000157,1.48999839,1.0499984,0.07999842,-0.09000157,-1.86000153,-1.00000155,1.1599984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0539,0.1096,0.0308,0.1856,0.1965,0.0763,0.0058,-5.79400015,-2.73600006,-3.4460001,10.6610003,-1.86800003,-1.27100003,-10.6190004
38,2011,4.5,PC0920_12,PC0920,29.6201,-88.04311667,,3,0.206666667,2009,1.707,0.137777778,1.91,36,0.2,32.13107896,48.08173333,0.57,0.136894042,3.868921039,,,3.04999836,3.29999835,0.75999841,-1.24000155,0.01999843,-0.59000156,-0.95000155,0.2199984,1.6399984,0.3999984,1.1599984,0.3599984,-2.8600015,-1.0800015,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.066,0.0529,0.1146,0.2118,0.1826,0.1803,0.0406,-11.3470001,-6.08300018,-3.24300003,-1.10000002,-3.22399998,0.612999976,4.08900023
39,2011,4.5,PC0920_12,PC0920,29.6201,-88.04311667,,4,0.173333333,2010,1.88,0.1015625,1.91,36,0.2,35.37598048,52.9628,0.76,0.100989497,3.244901516,,,0.34999842,0.09999842,1.1599984,-1.81000153,0.66999841,-0.76000156,1.1799984,1.67999839,0.89999841,0.81999841,0.11999842,-1.47000154,0.04999842,-1.77000153,688.0333333,600.4333333,465.2333333,331.9333333,312,249.2333333,343.5666667,427.2047619,0.0757,0.1058,0.0995,0.1865,0.1251,0.097,-0.0611,-5.24499989,-6.29400015,-2.80900002,-6.33099985,-8.85400009,0.460000008,-3.16300011
40,2011,4.5,PC0920_12,PC0920,29.6201,-88.04311667,0.782,4.5,0.033333333,2011,1.913,0.017730496,1.91,36,0.2,36,53.90146667,0.8,0.017639639,0.624019522,,,1.2599984,1.4099984,1.8999984,-0.4800016,-1.7600015,-1.3200015,-1.3400015,1.0599984,0.79999841,-0.49000156,-0.26000157,-2.61000152,-0.01000157,-0.44000156,1037.433333,615.5666667,400.4333333,305.1666667,245.8666667,297.2,765.4,523.8666667,0.0657,0.0845,0.1111,0.1158,0.0928,0.1116,0.0751,-15.6949997,-7.40500021,-6.30499983,-6.33300018,1.25699997,-1.19400001,-2.91199994
41,2011,4.5,PC1010_10,PC1010,29.51233333,-88.68658333,,1,0.99,2007,0.99,,2.06,55,0.2,26.56478028,27.9004,0.33,,26.56478028,,,0.6199984,2.2899984,0.7599984,-2.1000015,-3.0100015,-0.6200016,-0.5700016,0.7199984,0.5499984,0.7899984,-0.2600016,-0.9400016,-1.6800015,0.7199984,400.9,481.6451613,300.0645161,290.9333333,200.6129032,247.6333333,377.0967742,328.4122888,0.0341,0.0168,0.0564,0.1218,0.148,0.0997,-0.0171,-5.01800013,-4.85200024,-4.09200001,5.35500002,5.31699991,-2.20000005,-0.889999986
42,2011,4.5,PC1010_10,PC1010,29.51233333,-88.68658333,,2,0.48,2008,1.47,0.484848485,2.06,55,0.2,39.36062916,41.4172,1.05,0.481684725,12.79584887,,,1.1599984,2.15999838,2.27999838,-3.3100015,-1.82000153,0.25999842,-0.03000157,1.48999839,1.0499984,0.07999842,-0.09000157,-1.86000153,-1.00000155,1.1599984,806.9666667,700,419.4193548,457.6333333,334.9354839,227.5333333,327.9677419,467.7794163,0.0227,0.0655,-0.0154,0.2055,0.2155,0.0709,0.0149,-5.79400015,-2.73600006,-3.4460001,10.6610003,-1.86800003,-1.27100003,-10.6190004
43,2011,4.5,PC1010_10,PC1010,29.51233333,-88.68658333,,3,0.236666667,2009,1.707,0.160997732,2.06,55,0.2,45.66969353,48.08173333,1.63,0.160288708,6.309064375,,,3.04999836,3.29999835,0.75999841,-1.24000155,0.01999843,-0.59000156,-0.95000155,0.2199984,1.6399984,0.3999984,1.1599984,0.3599984,-2.8600015,-1.0800015,909.8333333,470.3666667,400.2666667,328.6666667,627.3666667,879.0333333,691,615.2190476,0.023,0.0319,0.0944,0.2199,0.164,0.187,0.0685,-11.3470001,-6.08300018,-3.24300003,-1.10000002,-3.22399998,0.612999976,4.08900023
